Cluster ID, Term
0,wont
32,secures
5,korea
0,tragically
4,forces
0,nicola
8,secured
0,internet
85,polly
67,needed
0,lord
12,admin
4,18th
12,stocks
68,peopl
8,blsanthosh
8,pattymo
58,urgency
85,unvaccinated
0,gazab
11,orwell
3,clsjnrk45w
20,winning
67,paulwilliamslab
0,marr
67,binay
23,bars
12,mara
11,cells
6,sethabramson
5,disgust
4,criminalise
8,ireland
0,auspol
8,booke
8,claimed
5,thetimes
0,logistical
32,fingers
67,mon
32,mor
32,mou
11,vac
15,gavinnewsom
5,workforce
3,controlling
58,profits
12,getvaccinated
12,matt
11,vax
12,govwhitmer
8,mps
0,imgrund
3,books
0,knowing
5,delays
8,registration
11,stated
3,republican
3,isawken
3,throwing
12,believes
8,perdue
12,rushed
3,woul
0,believed
6,europe
3,facebook
12,genocide
58,aged
32,immunisation
12,carers
58,sends
4,lucaschancel
6,indias
0,cutting
12,21wire
58,ages
4,breastfeeding
32,indian
11,sharma
16,hospitals
11,suhelseth
28,nigelfarage
8,litecoinbull
67,prepared
28,msm
32,profmusgrave
11,no10
15,meatpacker
67,expecting
28,vet
8,repleezeldin
8,failed
11,scdhec
3,appointed
15,preparing
133,tokyotrev
23,yadavakhilesh
8,seems
23,tickets
5,mum
20,tonyferraro7
8,congratulations
68,latimes
5,geoffreyyork
3,danielmarven
4,jackson
6,warnock
0,catturd2
5,talks
3,maharashtra
0,dodging
3,68053
28,fairness
67,gamergate2077
32,eff
4,spent
8,stephen
15,dolores
12,shipments
11,jack
11,attacking
3,compulsory
12,mojos55
3,jabs
28,francis
3,constituents
0,providers
0,hands
11,saved
6,clamouring
3,allowed
3,staying
15,ignoring
20,hiiipowers
15,celliottability
8,awaiting
15,liberals
4,communiti
8,moving
8,victims
15,dealing
8,inviting
4,google
8,israels
3,verbally
15,nspector4
12,contains
4,boris
11,israeli
16,restaurants
8,happening
15,unused
28,morrisons
58,everydoctoruk
11,robmiller12345
12,j8lselptdp
11,beware
6,nashville
0,wouldnt
3,duterte
0,inmates
8,agreed
3,website
11,failures
11,dminghella
32,ezralevant
3,bjps
5,pushing
68,predictions
15,euflagmafia
0,communism
15,jetted
8,pandemics
11,rounds
28,addressing
0,instructions
12,notes
3,ohio
0,khamenei
3,whats
